run_id,final_potential,optimal_potential,convergence_gap,training_time,num_episodes,final_trajectory_length,config_num_agents,config_state_dim,config_action_dim,config_history_len,config_episode_len,config_gamma,config_batch_size,config_use_episodic_freeze,config_use_baseline,config_learning_rate,config_init_states_tuple,config_seed,config_experiment_name,config_check_nash_equilibrium,agent_0_final_loss,agent_0_final_return,agent_1_final_loss,agent_1_final_return,agent_2_final_loss,agent_2_final_return
sweep_seed_1025451466,616.7245483398438,709.6050415039062,92.8804931640625,121.65608882904053,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 1, 1)",1025451466,NE_convergence_experiment,False,-25.457122802734375,571.4341430664062,-27.111913681030273,434.49078369140625,-85.90254211425781,439.1240234375
sweep_seed_1031410876,424.96319580078125,710.6050415039062,285.641845703125,122.40998411178589,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 0, 2)",1031410876,NE_convergence_experiment,False,-9.894665718078613,140.9899139404297,-28.971593856811523,137.15623474121094,-24.350439071655273,137.60137939453125
sweep_seed_104832471,423.96319580078125,711.6050415039062,287.641845703125,136.7819631099701,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 1, 0)",104832471,NE_convergence_experiment,False,-15.692371368408203,138.29782104492188,-9.706929206848145,139.42227172851562,-23.67949104309082,140.0096435546875
sweep_seed_1057684339,617.7245483398438,710.6050415039062,92.8804931640625,138.9086422920227,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(0, 1, 1)",1057684339,NE_convergence_experiment,False,-36.0391731262207,585.9153442382812,-42.91938018798828,448.4093017578125,-23.677021026611328,449.42138671875
sweep_seed_1065858366,425.96319580078125,711.6050415039062,285.641845703125,121.13479852676392,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 0, 0)",1065858366,NE_convergence_experiment,False,-15.355481147766113,138.8251953125,-32.571895599365234,137.33563232421875,-21.63507080078125,138.30686950683594
sweep_seed_1066207224,616.7245483398438,709.6050415039062,92.8804931640625,139.53444647789001,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 2, 2)",1066207224,NE_convergence_experiment,False,-148.8983612060547,528.5196533203125,-78.94438171386719,402.8503112792969,-119.89714050292969,404.1104736328125
sweep_seed_1070565993,422.96319580078125,710.6050415039062,287.641845703125,122.90835809707642,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(1, 0, 1)",1070565993,NE_convergence_experiment,False,-14.654303550720215,139.471923828125,-54.397274017333984,133.21160888671875,-1.5416111946105957,141.04959106445312
sweep_seed_1078349150,424.96319580078125,710.6050415039062,285.641845703125,149.02782201766968,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 0, 2)",1078349150,NE_convergence_experiment,False,-4.241437911987305,142.3941650390625,-18.988813400268555,140.56809997558594,-32.244842529296875,133.26513671875
sweep_seed_107846371,615.7245483398438,708.6050415039062,92.8804931640625,158.96872472763062,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(1, 1, 1)",107846371,NE_convergence_experiment,False,-6.460597038269043,316.2804870605469,-27.852676391601562,222.8384246826172,-42.25225830078125,216.8317413330078
sweep_seed_1096214611,423.96319580078125,711.6050415039062,287.641845703125,162.0486123561859,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 0, 1)",1096214611,NE_convergence_experiment,False,-11.20807933807373,140.66067504882812,-22.579299926757812,139.42535400390625,-16.13930892944336,136.95326232910156
