run_id,final_potential,optimal_potential,convergence_gap,training_time,num_episodes,final_trajectory_length,config_num_agents,config_state_dim,config_action_dim,config_history_len,config_episode_len,config_gamma,config_batch_size,config_use_episodic_freeze,config_use_baseline,config_learning_rate,config_init_states_tuple,config_seed,config_experiment_name,config_check_nash_equilibrium,agent_0_final_loss,agent_0_final_return,agent_1_final_loss,agent_1_final_return,agent_2_final_loss,agent_2_final_return
baseline_seed_0,422.96319580078125,710.6050415039062,287.641845703125,417.08536887168884,128,65,3,3,3,1,64,0.99,128,True,True,0.001,"(1, 1, 0, 2, 0)",0,baseline_experiment,False,-5.958705425262451,139.41656494140625,-7.84366512298584,139.32037353515625,-10.512364387512207,140.83966064453125
baseline_seed_1,422.96319580078125,710.6050415039062,287.641845703125,417.7114520072937,128,65,3,3,3,1,64,0.99,128,True,True,0.001,"(1, 1, 0, 2, 0)",1,baseline_experiment,False,-7.774593353271484,139.83815002441406,-15.960314750671387,137.35267639160156,-21.387928009033203,139.45590209960938
baseline_seed_10,422.96319580078125,710.6050415039062,287.641845703125,415.19280099868774,128,65,3,3,3,1,64,0.99,128,True,True,0.001,"(1, 1, 0, 2, 0)",10,baseline_experiment,False,-15.93935489654541,137.94625854492188,-11.617554664611816,138.47247314453125,-17.612028121948242,140.6754150390625
baseline_seed_11,422.96319580078125,710.6050415039062,287.641845703125,414.4878990650177,128,65,3,3,3,1,64,0.99,128,True,True,0.001,"(1, 1, 0, 2, 0)",11,baseline_experiment,False,-10.939590454101562,139.25372314453125,-12.162201881408691,138.92764282226562,-16.252750396728516,140.04615783691406
baseline_seed_12,422.96319580078125,710.6050415039062,287.641845703125,415.8134813308716,128,65,3,3,3,1,64,0.99,128,True,True,0.001,"(1, 1, 0, 2, 0)",12,baseline_experiment,False,-9.987024307250977,139.23785400390625,-8.940092086791992,139.35040283203125,-14.369624137878418,140.57264709472656
baseline_seed_13,422.96319580078125,710.6050415039062,287.641845703125,415.18994665145874,128,65,3,3,3,1,64,0.99,128,True,True,0.001,"(1, 1, 0, 2, 0)",13,baseline_experiment,False,-6.065011024475098,139.97520446777344,-10.611445426940918,137.85238647460938,-4.878114700317383,141.79220581054688
baseline_seed_14,422.96319580078125,710.6050415039062,287.641845703125,413.02829098701477,128,65,3,3,3,1,64,0.99,128,True,True,0.001,"(1, 1, 0, 2, 0)",14,baseline_experiment,False,-11.733567237854004,139.22555541992188,-19.699811935424805,136.78123474121094,-13.833968162536621,140.79013061523438
baseline_seed_15,422.96319580078125,710.6050415039062,287.641845703125,416.24067759513855,128,65,3,3,3,1,64,0.99,128,True,True,0.001,"(1, 1, 0, 2, 0)",15,baseline_experiment,False,-7.858557224273682,139.6767578125,-14.279560089111328,137.6234130859375,-10.411381721496582,140.7370147705078
baseline_seed_16,422.96319580078125,710.6050415039062,287.641845703125,414.5983316898346,128,65,3,3,3,1,64,0.99,128,True,True,0.001,"(1, 1, 0, 2, 0)",16,baseline_experiment,False,-14.631671905517578,137.87347412109375,-12.82307243347168,138.2664031982422,-9.018348693847656,141.53216552734375
baseline_seed_17,422.96319580078125,710.6050415039062,287.641845703125,411.2687168121338,128,65,3,3,3,1,64,0.99,128,True,True,0.001,"(1, 1, 0, 2, 0)",17,baseline_experiment,False,-8.164878845214844,139.70773315429688,-15.853087425231934,138.21168518066406,-18.348726272583008,139.60801696777344
baseline_seed_18,422.96319580078125,710.6050415039062,287.641845703125,412.1047508716583,128,65,3,3,3,1,64,0.99,128,True,True,0.001,"(1, 1, 0, 2, 0)",18,baseline_experiment,False,-10.74268913269043,139.72265625,-13.725728034973145,138.417724609375,-15.272943496704102,140.21676635742188
baseline_seed_19,422.96319580078125,710.6050415039062,287.641845703125,416.5982871055603,128,65,3,3,3,1,64,0.99,128,True,True,0.001,"(1, 1, 0, 2, 0)",19,baseline_experiment,False,-9.831219673156738,138.73406982421875,-18.381153106689453,136.64309692382812,-6.469680309295654,142.0699462890625
baseline_seed_2,422.96319580078125,710.6050415039062,287.641845703125,413.6952362060547,128,65,3,3,3,1,64,0.99,128,True,True,0.001,"(1, 1, 0, 2, 0)",2,baseline_experiment,False,-15.295287132263184,138.54090881347656,-6.206091403961182,139.35740661621094,-6.0391435623168945,141.68130493164062
baseline_seed_3,422.96319580078125,710.6050415039062,287.641845703125,414.7177748680115,128,65,3,3,3,1,64,0.99,128,True,True,0.001,"(1, 1, 0, 2, 0)",3,baseline_experiment,False,-9.284924507141113,138.90367126464844,-7.27060604095459,139.64549255371094,-16.36726951599121,140.42701721191406
baseline_seed_4,422.96319580078125,710.6050415039062,287.641845703125,414.7650001049042,128,65,3,3,3,1,64,0.99,128,True,True,0.001,"(1, 1, 0, 2, 0)",4,baseline_experiment,False,-8.378213882446289,139.2663116455078,-1.602400302886963,140.5543670654297,-9.510429382324219,140.95323181152344
baseline_seed_5,422.96319580078125,710.6050415039062,287.641845703125,416.75422954559326,128,65,3,3,3,1,64,0.99,128,True,True,0.001,"(1, 1, 0, 2, 0)",5,baseline_experiment,False,-5.8261590003967285,139.89492797851562,-12.03604793548584,138.58209228515625,-10.447301864624023,140.18348693847656
baseline_seed_6,422.96319580078125,710.6050415039062,287.641845703125,417.08667635917664,128,65,3,3,3,1,64,0.99,128,True,True,0.001,"(1, 1, 0, 2, 0)",6,baseline_experiment,False,-5.448079586029053,139.91766357421875,-9.667292594909668,138.29388427734375,-8.820493698120117,141.07565307617188
baseline_seed_7,422.96319580078125,710.6050415039062,287.641845703125,414.68722343444824,128,65,3,3,3,1,64,0.99,128,True,True,0.001,"(1, 1, 0, 2, 0)",7,baseline_experiment,False,-7.49924373626709,140.36856079101562,-17.028024673461914,137.17445373535156,-10.738753318786621,141.00865173339844
baseline_seed_8,422.96319580078125,710.6050415039062,287.641845703125,415.0095839500427,128,65,3,3,3,1,64,0.99,128,True,True,0.001,"(1, 1, 0, 2, 0)",8,baseline_experiment,False,-16.936153411865234,138.4004669189453,-8.607810020446777,139.14254760742188,-10.702374458312988,140.76356506347656
