run_id,final_potential,optimal_potential,convergence_gap,training_time,num_episodes,final_trajectory_length,config_num_agents,config_state_dim,config_action_dim,config_history_len,config_episode_len,config_gamma,config_batch_size,config_use_episodic_freeze,config_use_baseline,config_learning_rate,config_init_states_tuple,config_seed,config_experiment_name,config_check_nash_equilibrium,agent_0_final_loss,agent_0_final_return,agent_1_final_loss,agent_1_final_return,agent_2_final_loss,agent_2_final_return
sweep_seed_1025451466,220.81333923339844,220.81333923339844,0.0,5086.259900093079,1500,17,3,3,3,1,16,0.99,4,False,True,0.001,"(2, 1, 1)",1025451466,classic_reinforce_gradual_batchsize_direct_parameterization_w_10%_exploration,False,-26.33277130126953,69.77442932128906,-26.369121551513672,55.046085357666016,-57.99486541748047,55.017112731933594
sweep_seed_1031410876,194.10491943359375,221.81333923339844,27.708419799804688,5155.801295757294,1500,17,3,3,3,1,16,0.99,4,False,True,0.001,"(2, 0, 2)",1031410876,classic_reinforce_gradual_batchsize_direct_parameterization_w_10%_exploration,False,-30.206148147583008,89.69448852539062,-18.3972225189209,68.103515625,-19.69007682800293,68.42558288574219
sweep_seed_104832471,222.81333923339844,222.81333923339844,0.0,5147.237656831741,1500,17,3,3,3,1,16,0.99,4,False,True,0.001,"(2, 1, 0)",104832471,classic_reinforce_gradual_batchsize_direct_parameterization_w_10%_exploration,False,-23.06789207458496,71.59635162353516,-39.73469543457031,56.40535354614258,-73.73535919189453,57.12839126586914
sweep_seed_1057684339,194.10491943359375,221.81333923339844,27.708419799804688,5058.20037317276,1500,17,3,3,3,1,16,0.99,4,False,True,0.001,"(0, 1, 1)",1057684339,classic_reinforce_gradual_batchsize_direct_parameterization_w_10%_exploration,False,-41.946983337402344,88.99896240234375,-16.54552459716797,67.48749542236328,-22.857545852661133,67.91429138183594
sweep_seed_1065858366,195.10491943359375,222.81333923339844,27.708419799804688,5147.509105682373,1500,17,3,3,3,1,16,0.99,4,False,True,0.001,"(2, 0, 0)",1065858366,classic_reinforce_gradual_batchsize_direct_parameterization_w_10%_exploration,False,-31.070894241333008,89.8187484741211,-21.79473304748535,68.42300415039062,-20.602148056030273,68.39185333251953
sweep_seed_1066207224,220.81333923339844,220.81333923339844,0.0,5211.0682599544525,1500,17,3,3,3,1,16,0.99,4,False,True,0.001,"(2, 2, 2)",1066207224,classic_reinforce_gradual_batchsize_direct_parameterization_w_10%_exploration,False,-33.71832275390625,70.87079620361328,-66.43425750732422,56.34669494628906,-36.607425689697266,55.76913833618164
sweep_seed_1070565993,129.68800354003906,221.81333923339844,92.12533569335938,5238.367896795273,1500,17,3,3,3,1,16,0.99,4,False,True,0.001,"(1, 0, 1)",1070565993,classic_reinforce_gradual_batchsize_direct_parameterization_w_10%_exploration,False,-8.424420356750488,23.366146087646484,-7.912364482879639,23.682952880859375,-7.961399555206299,23.372465133666992
sweep_seed_1078349150,194.10491943359375,221.81333923339844,27.708419799804688,5144.544523000717,1500,17,3,3,3,1,16,0.99,4,False,True,0.001,"(2, 0, 2)",1078349150,classic_reinforce_gradual_batchsize_direct_parameterization_w_10%_exploration,False,-35.604984283447266,88.09213256835938,-19.968969345092773,66.98410034179688,-23.199172973632812,67.03711700439453
sweep_seed_107846371,219.81333923339844,219.81333923339844,0.0,5127.4767537117,1500,17,3,3,3,1,16,0.99,4,False,True,0.001,"(1, 1, 1)",107846371,classic_reinforce_gradual_batchsize_direct_parameterization_w_10%_exploration,False,-16.94077491760254,68.4756088256836,-30.488069534301758,53.9965934753418,-66.96662902832031,53.60136413574219
sweep_seed_109501881,219.81333923339844,219.81333923339844,0.0,5665.9755601882935,1500,17,3,3,3,1,16,0.99,4,False,True,0.001,"(1, 1, 1)",109501881,classic_reinforce_gradual_batchsize_direct_parameterization_w_10%_exploration,False,-44.30322265625,67.50627136230469,-42.58555603027344,53.32212448120117,-49.21284866333008,52.954410552978516
sweep_seed_1096214611,213.5775146484375,222.81333923339844,9.235824584960938,5151.261933088303,1500,17,3,3,3,1,16,0.99,4,False,True,0.001,"(2, 0, 1)",1096214611,classic_reinforce_gradual_batchsize_direct_parameterization_w_10%_exploration,False,-18.54576873779297,70.34679412841797,-32.64373779296875,53.87455368041992,-32.225486755371094,53.729103088378906
sweep_seed_1099691374,131.68800354003906,221.81333923339844,90.12533569335938,5296.647505521774,1500,17,3,3,3,1,16,0.99,4,False,True,0.001,"(0, 2, 2)",1099691374,classic_reinforce_gradual_batchsize_direct_parameterization_w_10%_exploration,False,-7.862401008605957,24.358736038208008,-6.119475841522217,23.60825538635254,-5.703736782073975,23.802343368530273
sweep_seed_1104125174,193.08493041992188,220.81333923339844,27.728408813476562,5111.745187997818,1500,17,3,3,3,1,16,0.99,4,False,True,0.001,"(1, 2, 1)",1104125174,classic_reinforce_gradual_batchsize_direct_parameterization_w_10%_exploration,False,-48.9472541809082,89.6365737915039,-16.43906593322754,68.41551971435547,-20.9976806640625,68.4595947265625
sweep_seed_1108746529,221.81333923339844,221.81333923339844,0.0,5647.090863466263,1500,17,3,3,3,1,16,0.99,4,False,True,0.001,"(2, 2, 0)",1108746529,classic_reinforce_gradual_batchsize_direct_parameterization_w_10%_exploration,False,-18.380075454711914,68.62843322753906,-59.489192962646484,53.62480926513672,-51.8492546081543,54.06657028198242
sweep_seed_1111766880,215.24778747558594,221.81333923339844,6.5655517578125,5168.212924718857,1500,17,3,3,3,1,16,0.99,4,False,True,0.001,"(0, 2, 2)",1111766880,classic_reinforce_gradual_batchsize_direct_parameterization_w_10%_exploration,False,-25.868541717529297,71.00078582763672,-46.14624786376953,56.13650131225586,-47.10798645019531,56.68754959106445
sweep_seed_1119179194,221.81333923339844,223.81333923339844,2.0,5123.585793972015,1500,17,3,3,3,1,16,0.99,4,False,True,0.001,"(0, 0, 1)",1119179194,classic_reinforce_gradual_batchsize_direct_parameterization_w_10%_exploration,False,-28.50057029724121,68.29254150390625,-36.099979400634766,53.23725509643555,-52.097999572753906,53.129058837890625
sweep_seed_1129763209,195.10491943359375,222.81333923339844,27.708419799804688,5700.042571783066,1500,17,3,3,3,1,16,0.99,4,False,True,0.001,"(0, 0, 2)",1129763209,classic_reinforce_gradual_batchsize_direct_parameterization_w_10%_exploration,False,-29.876930236816406,90.16293334960938,-20.834041595458984,68.77418518066406,-13.068145751953125,68.5114517211914
