init,beta,pool_at_opt,nu_mean,nu_std
000,1.0,0.1744,0.0279,0.0042
000,0.5,0.1744,0.0738,0.0078
000,0.3,0.1744,0.152,0.0115
000,0.2,0.1744,0.2636,0.0171
000,0.1,0.1744,0.523,0.0285
000,0.05,0.1744,0.7714,0.0337
000,0.02,0.1744,0.965,0.0119
000,0.01,0.1744,0.9947,0.0054
022,1.0,0.25,0.0406,0.0059
022,0.5,0.25,0.1047,0.0094
022,0.3,0.25,0.2151,0.0137
022,0.2,0.25,0.3511,0.0219
022,0.1,0.25,0.5967,0.0215
022,0.05,0.25,0.8121,0.0212
022,0.02,0.25,0.9683,0.0127
022,0.01,0.25,0.9948,0.004
111,1.0,0.21,0.0276,0.0048
111,0.5,0.21,0.0816,0.0087
111,0.3,0.21,0.1971,0.0174
111,0.2,0.21,0.3444,0.0211
111,0.1,0.21,0.6085,0.0243
111,0.05,0.21,0.8417,0.0266
111,0.02,0.21,0.9825,0.0107
111,0.01,0.21,0.9988,0.0022
122,1.0,0.18,0.0245,0.0045
122,0.5,0.18,0.0713,0.0083
122,0.3,0.18,0.1678,0.0131
122,0.2,0.18,0.291,0.02
122,0.1,0.18,0.5217,0.0275
122,0.05,0.18,0.7458,0.0306
122,0.02,0.18,0.9318,0.0153
122,0.01,0.18,0.9852,0.0104
222,1.0,0.185,0.026,0.0052
222,0.5,0.185,0.0734,0.0081
222,0.3,0.185,0.1747,0.0148
222,0.2,0.185,0.301,0.0203
222,0.1,0.185,0.5374,0.0217
222,0.05,0.185,0.7609,0.0255
222,0.02,0.185,0.9447,0.0168
222,0.01,0.185,0.9893,0.0073
